"date","ristorante","lordototale","weekday","LOCALITA.x","LOCALITA.y","FENOMENI","year","month","day","place","population","totale_casi"
"2018-09-21","R005",26849.543,"Friday","Pavia","Pavia","nebbia ",2018,9,21,"Voghera",39051,0
"2018-09-22","R000",44237.256,"Saturday","Pavia","Pavia","N",2018,9,22,"Montebello",1596,0
"2018-09-22","R001",59328.5651,"Saturday","Piacenza","Piacenza","N",2018,9,22,"Piacenza",103904,0
"2018-09-22","R003",20440.4851,"Saturday","Piacenza","Piacenza","N",2018,9,22,"Piacenza",103904,0
"2018-09-22","R004",44276.3258,"Saturday","Pavia","Pavia","N",2018,9,22,"Stradella",11669,0
"2018-09-22","R005",30538.2112,"Saturday","Pavia","Pavia","N",2018,9,22,"Voghera",39051,0
"2018-09-23","R000",41700.8165,"Sunday","Pavia","Pavia","N",2018,9,23,"Montebello",1596,0
"2018-09-23","R001",49248.7632,"Sunday","Piacenza","Piacenza","N",2018,9,23,"Piacenza",103904,0
"2018-09-23","R003",16095.5599,"Sunday","Piacenza","Piacenza","N",2018,9,23,"Piacenza",103904,0
"2018-09-23","R004",34114.5434,"Sunday","Pavia","Pavia","N",2018,9,23,"Stradella",11669,0
"2018-09-23","R005",20668.6263,"Sunday","Pavia","Pavia","N",2018,9,23,"Voghera",39051,0
"2018-09-24","R000",14256.5535,"Monday","Pavia","Pavia","N",2018,9,24,"Montebello",1596,0
"2018-09-24","R001",29868.4078,"Monday","Piacenza","Piacenza","N",2018,9,24,"Piacenza",103904,0
"2018-09-24","R003",15353.275,"Monday","Piacenza","Piacenza","N",2018,9,24,"Piacenza",103904,0
"2018-09-24","R004",24654.6132,"Monday","Pavia","Pavia","N",2018,9,24,"Stradella",11669,0
"2018-09-24","R005",16841.5618,"Monday","Pavia","Pavia","N",2018,9,24,"Voghera",39051,0
"2018-09-25","R000",17540.11,"Tuesday","Pavia","Pavia","N",2018,9,25,"Montebello",1596,0
"2018-09-25","R001",30552.914,"Tuesday","Piacenza","Piacenza","N",2018,9,25,"Piacenza",103904,0
"2018-09-25","R003",15863.4952,"Tuesday","Piacenza","Piacenza","N",2018,9,25,"Piacenza",103904,0
"2018-09-25","R004",22121.8081,"Tuesday","Pavia","Pavia","N",2018,9,25,"Stradella",11669,0
"2018-09-25","R005",18575.7075,"Tuesday","Pavia","Pavia","N",2018,9,25,"Voghera",39051,0
"2018-09-26","R000",14974.8844,"Wednesday","Pavia","Pavia","N",2018,9,26,"Montebello",1596,0
"2018-09-26","R001",35742.8372,"Wednesday","Piacenza","Piacenza","N",2018,9,26,"Piacenza",103904,0
"2018-09-26","R003",15017.6299,"Wednesday","Piacenza","Piacenza","N",2018,9,26,"Piacenza",103904,0
"2018-09-26","R004",24390.9953,"Wednesday","Pavia","Pavia","N",2018,9,26,"Stradella",11669,0
"2018-09-26","R005",19429.5024,"Wednesday","Pavia","Pavia","N",2018,9,26,"Voghera",39051,0
"2018-09-27","R000",15685.6987,"Thursday","Pavia","Pavia","nebbia ",2018,9,27,"Montebello",1596,0
"2018-09-27","R001",33794.7988,"Thursday","Piacenza","Piacenza","N",2018,9,27,"Piacenza",103904,0
"2018-09-27","R003",14563.6603,"Thursday","Piacenza","Piacenza","N",2018,9,27,"Piacenza",103904,0
"2018-09-27","R004",23874.3736,"Thursday","Pavia","Pavia","nebbia ",2018,9,27,"Stradella",11669,0
"2018-09-27","R005",20457.9137,"Thursday","Pavia","Pavia","nebbia ",2018,9,27,"Voghera",39051,0
"2018-09-28","R000",28288.2698,"Friday","Pavia","Pavia","nebbia ",2018,9,28,"Montebello",1596,0
"2018-09-28","R001",49167.1544,"Friday","Piacenza","Piacenza","N",2018,9,28,"Piacenza",103904,0
"2018-09-28","R003",19943.6461,"Friday","Piacenza","Piacenza","N",2018,9,28,"Piacenza",103904,0
"2018-09-28","R004",35966.6006,"Friday","Pavia","Pavia","nebbia ",2018,9,28,"Stradella",11669,0
"2018-09-28","R005",29044.7206,"Friday","Pavia","Pavia","nebbia ",2018,9,28,"Voghera",39051,0
"2018-09-29","R000",46114.8779,"Saturday","Pavia","Pavia","N",2018,9,29,"Montebello",1596,0
"2018-09-29","R001",61477.0737,"Saturday","Piacenza","Piacenza","N",2018,9,29,"Piacenza",103904,0
"2018-09-29","R003",20033.4736,"Saturday","Piacenza","Piacenza","N",2018,9,29,"Piacenza",103904,0
"2018-09-29","R004",44247.9114,"Saturday","Pavia","Pavia","N",2018,9,29,"Stradella",11669,0
"2018-09-29","R005",26750.01,"Saturday","Pavia","Pavia","N",2018,9,29,"Voghera",39051,0
"2018-09-30","R000",33820.2396,"Sunday","Pavia","Pavia","N",2018,9,30,"Montebello",1596,0
"2018-09-30","R001",46204.5815,"Sunday","Piacenza","Piacenza","N",2018,9,30,"Piacenza",103904,0
"2018-09-30","R003",16074.2491,"Sunday","Piacenza","Piacenza","N",2018,9,30,"Piacenza",103904,0
"2018-09-30","R004",36464.183,"Sunday","Pavia","Pavia","N",2018,9,30,"Stradella",11669,0
"2018-09-30","R005",21445.5619,"Sunday","Pavia","Pavia","N",2018,9,30,"Voghera",39051,0
"2018-10-01","R000",15523.6375,"Monday","Pavia","Pavia","pioggia ",2018,10,1,"Montebello",1596,0
"2018-10-01","R001",30347.5704,"Monday","Piacenza","Piacenza","pioggia ",2018,10,1,"Piacenza",103904,0
"2018-10-01","R003",15101.0972,"Monday","Piacenza","Piacenza","pioggia ",2018,10,1,"Piacenza",103904,0
"2018-10-01","R004",23871.8543,"Monday","Pavia","Pavia","pioggia ",2018,10,1,"Stradella",11669,0
"2018-10-01","R005",15754.6284,"Monday","Pavia","Pavia","pioggia ",2018,10,1,"Voghera",39051,0
"2018-10-02","R000",16627.38,"Tuesday","Pavia","Pavia","nebbia ",2018,10,2,"Montebello",1596,0
"2018-10-02","R001",31602.0166,"Tuesday","Piacenza","Piacenza","N",2018,10,2,"Piacenza",103904,0
"2018-10-02","R003",15762.6819,"Tuesday","Piacenza","Piacenza","N",2018,10,2,"Piacenza",103904,0
"2018-10-02","R004",21244.72,"Tuesday","Pavia","Pavia","nebbia ",2018,10,2,"Stradella",11669,0
"2018-10-02","R005",18146.8483,"Tuesday","Pavia","Pavia","nebbia ",2018,10,2,"Voghera",39051,0
"2018-10-03","R000",14708.582,"Wednesday","Pavia","Pavia","N",2018,10,3,"Montebello",1596,0
"2018-10-03","R001",34999.6437,"Wednesday","Piacenza","Piacenza","N",2018,10,3,"Piacenza",103904,0
"2018-10-03","R003",15857.2589,"Wednesday","Piacenza","Piacenza","N",2018,10,3,"Piacenza",103904,0
"2018-10-03","R004",25117.008,"Wednesday","Pavia","Pavia","N",2018,10,3,"Stradella",11669,0
"2018-10-03","R005",16676.1553,"Wednesday","Pavia","Pavia","N",2018,10,3,"Voghera",39051,0
"2018-10-04","R000",14978.6427,"Thursday","Pavia","Pavia","nebbia ",2018,10,4,"Montebello",1596,0
"2018-10-04","R001",35051.3513,"Thursday","Piacenza","Piacenza","N",2018,10,4,"Piacenza",103904,0
"2018-10-04","R003",15653.7325,"Thursday","Piacenza","Piacenza","N",2018,10,4,"Piacenza",103904,0
"2018-10-04","R004",24659.7344,"Thursday","Pavia","Pavia","nebbia ",2018,10,4,"Stradella",11669,0
"2018-10-04","R005",19302.8766,"Thursday","Pavia","Pavia","nebbia ",2018,10,4,"Voghera",39051,0
"2018-10-05","R000",27578.901,"Friday","Pavia","Pavia","pioggia nebbia ",2018,10,5,"Montebello",1596,0
"2018-10-05","R001",49468.6031,"Friday","Piacenza","Piacenza","N",2018,10,5,"Piacenza",103904,0
"2018-10-05","R003",18719.6793,"Friday","Piacenza","Piacenza","N",2018,10,5,"Piacenza",103904,0
"2018-10-05","R004",35955.6974,"Friday","Pavia","Pavia","pioggia nebbia ",2018,10,5,"Stradella",11669,0
"2018-10-05","R005",27261.6344,"Friday","Pavia","Pavia","pioggia nebbia ",2018,10,5,"Voghera",39051,0
"2018-10-06","R000",46877.2346,"Saturday","Pavia","Pavia","pioggia ",2018,10,6,"Montebello",1596,0
"2018-10-06","R001",59069.9858,"Saturday","Piacenza","Piacenza","pioggia ",2018,10,6,"Piacenza",103904,0
"2018-10-06","R003",18592.847,"Saturday","Piacenza","Piacenza","pioggia ",2018,10,6,"Piacenza",103904,0
"2018-10-06","R004",42608.797,"Saturday","Pavia","Pavia","pioggia ",2018,10,6,"Stradella",11669,0
"2018-10-06","R005",32877.0302,"Saturday","Pavia","Pavia","pioggia ",2018,10,6,"Voghera",39051,0
"2018-10-07","R000",36216.5482,"Sunday","Pavia","Pavia","nebbia ",2018,10,7,"Montebello",1596,0
"2018-10-07","R001",47247.613,"Sunday","Piacenza","Piacenza","N",2018,10,7,"Piacenza",103904,0
"2018-10-07","R003",14648.6557,"Sunday","Piacenza","Piacenza","N",2018,10,7,"Piacenza",103904,0
"2018-10-07","R004",34090.4655,"Sunday","Pavia","Pavia","nebbia ",2018,10,7,"Stradella",11669,0
"2018-10-07","R005",19108.4775,"Sunday","Pavia","Pavia","nebbia ",2018,10,7,"Voghera",39051,0
"2018-10-08","R000",14180.768,"Monday","Pavia","Pavia","N",2018,10,8,"Montebello",1596,0
"2018-10-08","R001",30854.3627,"Monday","Piacenza","Piacenza","N",2018,10,8,"Piacenza",103904,0
"2018-10-08","R003",14870.065,"Monday","Piacenza","Piacenza","N",2018,10,8,"Piacenza",103904,0
"2018-10-08","R004",21602.1302,"Monday","Pavia","Pavia","N",2018,10,8,"Stradella",11669,0
"2018-10-08","R005",20797.1932,"Monday","Pavia","Pavia","N",2018,10,8,"Voghera",39051,0
"2018-10-09","R000",12889.5235,"Tuesday","Pavia","Pavia","N",2018,10,9,"Montebello",1596,0
"2018-10-09","R001",31897.8072,"Tuesday","Piacenza","Piacenza","N",2018,10,9,"Piacenza",103904,0
"2018-10-09","R003",14447.1117,"Tuesday","Piacenza","Piacenza","N",2018,10,9,"Piacenza",103904,0
"2018-10-09","R004",21484.7969,"Tuesday","Pavia","Pavia","N",2018,10,9,"Stradella",11669,0
"2018-10-09","R005",17181.5847,"Tuesday","Pavia","Pavia","N",2018,10,9,"Voghera",39051,0
"2018-10-10","R000",17163.6605,"Wednesday","Pavia","Pavia","N",2018,10,10,"Montebello",1596,0
"2018-10-10","R001",34808.1356,"Wednesday","Piacenza","Piacenza","N",2018,10,10,"Piacenza",103904,0
"2018-10-10","R003",14307.7242,"Wednesday","Piacenza","Piacenza","N",2018,10,10,"Piacenza",103904,0
"2018-10-10","R004",23097.7271,"Wednesday","Pavia","Pavia","N",2018,10,10,"Stradella",11669,0
"2018-10-10","R005",18575.5423,"Wednesday","Pavia","Pavia","N",2018,10,10,"Voghera",39051,0
"2018-10-11","R000",17848.2906,"Thursday","Pavia","Pavia","pioggia ",2018,10,11,"Montebello",1596,0
"2018-10-11","R001",34426.1106,"Thursday","Piacenza","Piacenza","pioggia ",2018,10,11,"Piacenza",103904,0
"2018-10-11","R003",15608.8807,"Thursday","Piacenza","Piacenza","pioggia ",2018,10,11,"Piacenza",103904,0
"2018-10-11","R004",27460.9069,"Thursday","Pavia","Pavia","pioggia ",2018,10,11,"Stradella",11669,0
"2018-10-11","R005",17114.6787,"Thursday","Pavia","Pavia","pioggia ",2018,10,11,"Voghera",39051,0
"2018-10-12","R000",28371.861,"Friday","Pavia","Pavia","pioggia ",2018,10,12,"Montebello",1596,0
"2018-10-12","R001",53619.8313,"Friday","Piacenza","Piacenza","N",2018,10,12,"Piacenza",103904,0
"2018-10-12","R003",21428.1333,"Friday","Piacenza","Piacenza","N",2018,10,12,"Piacenza",103904,0
"2018-10-12","R004",34463.3632,"Friday","Pavia","Pavia","pioggia ",2018,10,12,"Stradella",11669,0
"2018-10-12","R005",28637.8743,"Friday","Pavia","Pavia","pioggia ",2018,10,12,"Voghera",39051,0
"2018-10-13","R000",45786.0473,"Saturday","Pavia","Pavia","grandine nebbia ",2018,10,13,"Montebello",1596,0
"2018-10-13","R001",67660.5097,"Saturday","Piacenza","Piacenza","N",2018,10,13,"Piacenza",103904,0
"2018-10-13","R003",19523.3773,"Saturday","Piacenza","Piacenza","N",2018,10,13,"Piacenza",103904,0
"2018-10-13","R004",45933.4883,"Saturday","Pavia","Pavia","grandine nebbia ",2018,10,13,"Stradella",11669,0
"2018-10-13","R005",28653.8987,"Saturday","Pavia","Pavia","grandine nebbia ",2018,10,13,"Voghera",39051,0
"2018-10-14","R000",36393.4774,"Sunday","Pavia","Pavia","grandine nebbia ",2018,10,14,"Montebello",1596,0
"2018-10-14","R001",50705.9511,"Sunday","Piacenza","Piacenza","N",2018,10,14,"Piacenza",103904,0
"2018-10-14","R003",15147.0641,"Sunday","Piacenza","Piacenza","N",2018,10,14,"Piacenza",103904,0
"2018-10-14","R004",36520.1032,"Sunday","Pavia","Pavia","grandine nebbia ",2018,10,14,"Stradella",11669,0
"2018-10-14","R005",20607.9153,"Sunday","Pavia","Pavia","grandine nebbia ",2018,10,14,"Voghera",39051,0
"2018-10-15","R000",15452.9732,"Monday","Pavia","Pavia","pioggia nebbia ",2018,10,15,"Montebello",1596,0
"2018-10-15","R001",31674.7459,"Monday","Piacenza","Piacenza","N",2018,10,15,"Piacenza",103904,0
"2018-10-15","R003",16495.6743,"Monday","Piacenza","Piacenza","N",2018,10,15,"Piacenza",103904,0
"2018-10-15","R004",22984.4412,"Monday","Pavia","Pavia","pioggia nebbia ",2018,10,15,"Stradella",11669,0
